



PackedCounter SampleTimeFine UTC_Nano UTC_Year UTC_Month UTC_Day UTC_Hour UTC_Minute UTC_Second UTC_Valid StatusWord RSSI Acc_X Acc_Y Acc_Z FreeAcc_X FreeAcc_Y FreeAcc_Z Gyr_X Gyr_Y Gyr_Z Mag_X Mag_Y Mag_Z  VelInc_X VelInc_Y VelInc_Z OriInc_q0 OriInc_q1 OriInc_q2 OriInc_q3 Pressure Roll Pitch Yaw Latitude Longitude Altitude calibacc0 calibacc1 calibacc2 calimgf0 calimgf1 calimgf2 
58465 NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 -49 6.46247 5.64888 -3.48802 3.46945e-16 1.43657e-15 -0.547752 -0.509074 -0.254534 -0.796296 -0.537109 -0.655029 0.215332 0.0648932 0.0561419 -0.0349409 0.999988 -0.00254536 -0.00127266 -0.00398146 NaN  121.897 -44.4604 -63.395 NaN NaN NaN 6.46247 5.64888 -3.48802 -0.537109 -0.655029 0.215332 
58466 NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 -50 5.92438 5.29604 -4.89191 0.664998 1.01979 -0.560973 -0.529423 -0.514319 -0.635237 -0.528809 -0.661133 0.215088 0.0595371 0.0526421 -0.0489058 0.999988 -0.0026471 -0.00257158 -0.00317617 97472 124.761 -43.8846 -69.3257 NaN NaN NaN 5.92438 5.29604 -4.89191 -0.528809 -0.661133 0.215088 
58467 NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 -50 6.53731 5.4401 -3.96009 0.188944 -0.0255589 -0.433111 -0.538807 -0.560233 -0.698307 -0.524658 -0.656982 0.219482 0.0656732 0.0540654 -0.0395632 0.999986 -0.00269402 -0.00280115 -0.00349152 NaN  124.487 -43.373 -69.3766 NaN NaN NaN 6.53731 5.4401 -3.96009 -0.524658 -0.656982 0.219482 
58468 NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 -50 7.45459 5.51369 -3.09113 -0.119993 -1.26317 -0.121661 -0.544992 -0.385547 -0.815483 -0.516113 -0.667236 0.215088 0.0748292 0.0547479 -0.0309168 0.999986 -0.00272495 -0.00192772 -0.0040774 97469 124.144 -42.8516 -69.2979 NaN NaN NaN 7.45459 5.51369 -3.09113 -0.516113 -0.667236 0.215088 
58469 NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 -50 8.95559 5.68198 -3.41207 0.411495 -2.09682 1.1218 -0.160088 -0.365569 -0.684136 -0.516113 -0.669189 0.215088 0.0898117 0.0564856 -0.034002 0.999992 -0.000800438 -0.00182784 -0.00342067 NaN  124.01 -42.4095 -69.2352 NaN NaN NaN 8.95559 5.68198 -3.41207 -0.516113 -0.669189 0.215088 
58470 NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 -49 9.451 4.02056 -5.68643 3.19609 -1.50061 1.3835 0.186826 -0.52756 -0.0234132 -0.511963 -0.669189 0.223877 0.0946642 0.0402475 -0.0565771 0.999996 0.000934128 -0.0026378 -0.000117066 97469 124.222 -42.5781 -69.4687 NaN NaN NaN 9.451 4.02056 -5.68643 -0.511963 -0.669189 0.223877 
58471 NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 -49 10.7566 0.376557 -5.41611 5.93893 -3.81013 -0.0457945 0.714228 -0.490831 0.242085 -0.510254 -0.663086 0.230225 0.107694 0.00408863 -0.0538827 0.99999 0.00357113 -0.00245414 0.00121042 NaN  124.916 -42.5328 -69.8899 NaN NaN NaN 10.7566 0.376557 -5.41611 -0.510254 -0.663086 0.230225 
58472 NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 -49 10.9442 2.10972 -6.12095 4.77325 -2.69879 1.66009 1.95835 -0.0679749 -0.402936 -0.506348 -0.661133 0.249756 0.109506 0.0214744 -0.0609632 0.99995 0.00979157 -0.000339869 -0.00201465 97472 127.478 -44.0334 -70.7436 NaN NaN NaN 10.9442 2.10972 -6.12095 -0.506348 -0.661133 0.249756 
58473 NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 -49 9.92495 8.84318 -1.45867 -3.471 -3.01997 2.74374 2.00058 0.198496 -0.69855 -0.504395 -0.65918 0.256104 0.099544 0.0882252 -0.0138022 0.999943 0.0100027 0.000992462 -0.00349269 NaN  128.301 -43.7874 -70.2778 NaN NaN NaN 9.92495 8.84318 -1.45867 -0.504395 -0.65918 0.256104 
58474 NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 -50 9.50163 11.6173 -1.23771 -6.18465 -1.66521 3.81633 0.304998 0.126387 -0.688305 -0.498047 -0.661133 0.249756 0.0954076 0.115864 -0.0122605 0.999993 0.00152499 0.000631931 -0.00344151 97475 129.152 -46.0366 -70.447 NaN NaN NaN 9.50163 11.6173 -1.23771 -0.498047 -0.661133 0.249756 
