



PackedCounter SampleTimeFine UTC_Nano UTC_Year UTC_Month UTC_Day UTC_Hour UTC_Minute UTC_Second UTC_Valid StatusWord RSSI Acc_X Acc_Y Acc_Z FreeAcc_X FreeAcc_Y FreeAcc_Z Gyr_X Gyr_Y Gyr_Z Mag_X Mag_Y Mag_Z  VelInc_X VelInc_Y VelInc_Z OriInc_q0 OriInc_q1 OriInc_q2 OriInc_q3 Pressure Roll Pitch Yaw Latitude Longitude Altitude calibacc0 calibacc1 calibacc2 calimgf0 calimgf1 calimgf2 
4566 NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 -56 9.79765 2.75177 -2.67051 6.93889e-16 6.93889e-16 0.708612 -0.00552061 0.0801733 -0.210886 -0.72583 -0.281494 -0.0812988 0.0979947 0.0274136 -0.0267451 0.999999 -2.76031e-05 0.000400866 -0.00105443 97297 134.293 -68.6531 -118.061 NaN NaN NaN 9.79765 2.75177 -2.67051 -0.72583 -0.281494 -0.0812988 
4567 NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 -56 9.93274 2.61719 -2.61119 6.93889e-16 3.46945e-16 0.785772 -0.0312764 0.228565 -0.170265 -0.730225 -0.2771 -0.0876465 0.0993197 0.0260832 -0.0262295 0.999999 -0.000156382 0.00114282 -0.000851325 NaN  135.16 -69.5726 -117.846 NaN NaN NaN 9.93274 2.61719 -2.61119 -0.730225 -0.2771 -0.0876465 
4568 NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 -56 9.32033 2.54144 -2.43586 -0.057741 0.00276943 0.150117 -0.00512526 0.293972 -0.149175 -0.726074 -0.274902 -0.0856934 0.0931863 0.0253443 -0.0244963 0.999999 -2.56263e-05 0.00146986 -0.000745876 97302 134.4 -69.1993 -117.372 NaN NaN NaN 9.32033 2.54144 -2.43586 -0.726074 -0.274902 -0.0856934 
4569 NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 -56 9.00584 2.54539 -2.21618 -0.189027 0.0431153 -0.197174 -0.0111427 0.152871 -0.150124 -0.726074 -0.279297 -0.0834961 0.0900605 0.0253851 -0.0222321 0.999999 -5.57134e-05 0.000764357 -0.00075062 NaN  134.071 -69.1988 -117.027 NaN NaN NaN 9.00584 2.54539 -2.21618 -0.726074 -0.279297 -0.0834961 
4570 NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 -56 9.16576 2.65573 -2.43318 -0.0332983 0.135493 0.0343954 -0.0657031 0.0306257 -0.178028 -0.730225 -0.283691 -0.0917969 0.0916775 0.0264677 -0.0243546 1 -0.000328516 0.000153129 -0.00089014 97297 133.816 -69.1376 -116.794 NaN NaN NaN 9.16576 2.65573 -2.43318 -0.730225 -0.283691 -0.0917969 
4571 NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 -56 9.09945 2.82407 -2.55139 0.0458093 0.323504 0.045211 -0.118598 0.0428764 -0.177949 -0.730225 -0.283691 -0.0917969 0.0910141 0.0281446 -0.0255501 0.999999 -0.00059299 0.000214382 -0.000889745 NaN  133.517 -69.0808 -116.547 NaN NaN NaN 9.09945 2.82407 -2.55139 -0.730225 -0.283691 -0.0917969 
4572 NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 -56 8.83702 3.02163 -2.23825 -0.254093 0.493661 -0.224958 -0.136579 0.0689545 -0.155374 -0.72583 -0.281494 -0.0834961 0.0883859 0.0301323 -0.0224336 0.999999 -0.000682896 0.000344772 -0.000776868 97298 133.203 -69.0427 -116.295 NaN NaN NaN 8.83702 3.02163 -2.23825 -0.72583 -0.281494 -0.0834961 
4573 NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 -56 8.76074 3.17876 -2.10745 -0.400102 0.615674 -0.286025 -0.192992 0.0327796 -0.12721 -0.72583 -0.285645 -0.0895996 0.0876242 0.0317115 -0.0211195 0.999999 -0.000964959 0.000163898 -0.000636048 NaN  132.927 -69.0023 -116.117 NaN NaN NaN 8.76074 3.17876 -2.10745 -0.72583 -0.285645 -0.0895996 
4574 NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 -56 9.04834 3.17299 -1.94558 -0.582879 0.466564 -0.0572671 -0.212426 0.0287964 -0.0753373 -0.728027 -0.279297 -0.0961914 0.0904926 0.0316751 -0.0195025 0.999999 -0.00106213 0.000143982 -0.000376687 97308 132.689 -68.9795 -115.994 NaN NaN NaN 9.04834 3.17299 -1.94558 -0.728027 -0.279297 -0.0961914 
4575 NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 -55 9.30795 2.96036 -1.68489 -0.790573 0.118831 0.0666471 -0.192573 0.0575379 -0.0272257 -0.730225 -0.287842 -0.0895996 0.0930786 0.0295746 -0.0169041 0.999999 -0.000962866 0.00028769 -0.000136129 NaN  132.488 -68.9904 -115.897 NaN NaN NaN 9.30795 2.96036 -1.68489 -0.730225 -0.287842 -0.0895996 
4576 NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 -55 9.21486 2.42173 -1.44745 -0.820568 -0.404154 -0.219101 -0.162879 0.0779081 -0.0149135 -0.728027 -0.285645 -0.09375 0.0921448 0.0241986 -0.0145301 1 -0.000814393 0.000389541 -7.45676e-05 97297 132.272 -69.0122 -115.768 NaN NaN NaN 9.21486 2.42173 -1.44745 -0.728027 -0.285645 -0.09375 
4577 NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 -54 8.28238 2.24927 -1.71317 -0.365579 -0.19778 -1.07088 -0.016485 0.0258699 -0.0361124 -0.721436 -0.283447 -0.0876465 0.0828256 0.0224763 -0.0171443 1 -8.24251e-05 0.000129349 -0.000180562 NaN  132.197 -69.0068 -115.699 NaN NaN NaN 8.28238 2.24927 -1.71317 -0.721436 -0.283447 -0.0876465 
4578 NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 -54 7.72013 2.72976 -2.41965 0.237678 0.588975 -1.2978 0.0025581 -0.134854 -0.0761953 -0.72583 -0.281494 -0.0959473 0.0772279 0.0272685 -0.024144 1 1.27905e-05 -0.000674268 -0.000380977 97301 132.24 -68.9252 -115.747 NaN NaN NaN 7.72013 2.72976 -2.41965 -0.72583 -0.281494 -0.0959473 
4579 NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 -54 8.53396 3.17676 -2.70808 0.232354 0.79334 -0.348514 -0.0628661 -0.233915 -0.048228 -0.730225 -0.287842 -0.0874023 0.0853789 0.0317386 -0.0269909 0.999999 -0.000314331 -0.00116957 -0.00024114 NaN  132.412 -68.8145 -115.97 NaN NaN NaN 8.53396 3.17676 -2.70808 -0.730225 -0.287842 -0.0874023 
4580 NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 -54 9.41811 3.1141 -2.54805 -0.0506277 0.400995 0.420968 -0.0700193 -0.133884 0.0291901 -0.728027 -0.283691 -0.0876465 0.0941936 0.0311458 -0.0254284 1 -0.000350097 -0.000669422 0.000145951 97303 132.514 -68.7702 -116.127 NaN NaN NaN 9.41811 3.1141 -2.54805 -0.728027 -0.283691 -0.0876465 
4581 NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 -54 9.25417 2.75319 -2.11335 -0.326191 0.0206931 0.0655323 -0.0745934 0.0318684 0.0515757 -0.728027 -0.283691 -0.0917969 0.0925313 0.0275478 -0.0211586 1 -0.000372967 0.000159342 0.000257878 NaN  132.488 -68.8043 -116.145 NaN NaN NaN 9.25417 2.75319 -2.11335 -0.728027 -0.283691 -0.0917969 
4582 NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 -54 8.69768 2.45581 -1.77127 -0.462747 -0.150029 -0.615875 -0.0485381 0.0482772 0.0466109 -0.72583 -0.287842 -0.0895996 0.0869668 0.0245741 -0.0177397 1 -0.000242691 0.000241386 0.000233054 97302 132.413 -68.8367 -116.101 NaN NaN NaN 8.69768 2.45581 -1.77127 -0.72583 -0.287842 -0.0895996 
4583 NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 -55 8.84994 2.50999 -1.73559 -0.537288 -0.155739 -0.468128 -0.057389 -0.0716533 0.0327117 -0.728271 -0.2771 -0.092041 0.0885015 0.0251094 -0.0173314 1 -0.000286945 -0.000358266 0.000163559 NaN  132.491 -68.8228 -116.219 NaN NaN NaN 8.84994 2.50999 -1.73559 -0.728271 -0.2771 -0.092041 
4584 NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 -55 9.55156 2.66249 -1.897 -0.547187 -0.207105 0.265877 -0.0705284 -0.100992 0.0234479 -0.730225 -0.2771 -0.0898438 0.095522 0.0266295 -0.0189311 1 -0.000352642 -0.000504959 0.00011724 97297 132.53 -68.7926 -116.312 NaN NaN NaN 9.55156 2.66249 -1.897 -0.730225 -0.2771 -0.0898438 
4585 NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 -56 9.67329 2.885 -1.95561 -0.582167 -0.0288294 0.452809 -0.074783 -0.0103807 0.028165 -0.732422 -0.279297 -0.0898438 0.0967299 0.0288563 -0.0195619 1 -0.000373915 -5.19033e-05 0.000140825 NaN  132.527 -68.8005 -116.355 NaN NaN NaN 9.67329 2.885 -1.95561 -0.732422 -0.279297 -0.0898438 
4586 NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 -55 9.04733 3.05059 -1.92925 -0.551674 0.32015 -0.0928412 -0.0134413 0.00127025 0.0275748 -0.730225 -0.281494 -0.0917969 0.090469 0.030517 -0.0192951 1 -6.72063e-05 6.35124e-06 0.000137874 97299 132.475 -68.8169 -116.317 NaN NaN NaN 9.04733 3.05059 -1.92925 -0.730225 -0.281494 -0.0917969 
4587 NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 -55 8.69787 3.1402 -1.82626 -0.622411 0.492493 -0.420184 -0.00592244 -0.0652113 0.0266269 -0.728271 -0.2771 -0.0939941 0.0869805 0.0314131 -0.0182351 1 -2.96122e-05 -0.000326057 0.000133134 NaN  132.569 -68.8029 -116.422 NaN NaN NaN 8.69787 3.1402 -1.82626 -0.728271 -0.2771 -0.0939941 
4588 NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 -56 8.86937 3.15477 -1.83629 -0.645002 0.451253 -0.253892 -0.096382 -0.087957 0.0473693 -0.730225 -0.279297 -0.0917969 0.0886943 0.0315599 -0.0183391 1 -0.00048191 -0.000439785 0.000236846 97296 132.559 -68.7913 -116.483 NaN NaN NaN 8.86937 3.15477 -1.83629 -0.730225 -0.279297 -0.0917969 
4589 NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 -56 9.00901 3.05895 -2.02202 -0.468922 0.365316 -0.1042 -0.134717 -0.0769485 0.0986997 -0.728271 -0.2771 -0.0876465 0.0900828 0.0306203 -0.0202062 1 -0.000673584 -0.000384742 0.000493498 NaN  132.664 -68.8031 -116.679 NaN NaN NaN 9.00901 3.05895 -2.02202 -0.728271 -0.2771 -0.0876465 
4590 NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 -56 9.23094 3.0466 -1.88016 -0.631504 0.252336 0.064788 -0.108693 -0.0506702 0.110726 -0.726074 -0.274902 -0.092041 0.0922973 0.0305069 -0.0187948 1 -0.000543466 -0.000253351 0.00055363 97293 132.642 -68.8307 -116.74 NaN NaN NaN 9.23094 3.0466 -1.88016 -0.726074 -0.274902 -0.092041 
4591 NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 -56 9.74517 3.01016 -1.58536 -0.983417 -0.00616011 0.462309 -0.0880718 -0.001641 0.118657 -0.726074 -0.274902 -0.0898438 0.0974339 0.0301524 -0.0158661 1 -0.000440359 -8.20502e-06 0.000593285 NaN  132.713 -68.88 -116.87 NaN NaN NaN 9.74517 3.01016 -1.58536 -0.726074 -0.274902 -0.0898438 
4592 NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 -57 9.5551 2.85336 -1.56609 -0.916052 -0.0847543 0.239566 0.00102113 0.0193715 0.133903 -0.726074 -0.2771 -0.092041 0.0955303 0.0285976 -0.01567 1 5.10566e-06 9.68577e-05 0.000669513 97301 132.674 -68.949 -116.85 NaN NaN NaN 9.5551 2.85336 -1.56609 -0.726074 -0.2771 -0.092041 
4593 NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 -58 9.03399 2.73632 -1.78414 -0.598504 0.0367048 -0.22499 0.0581745 -0.089347 0.118275 -0.730225 -0.283691 -0.0895996 0.0903316 0.0274218 -0.0177931 1 0.000290873 -0.000446735 0.000591377 NaN  132.925 -68.964 -117.083 NaN NaN NaN 9.03399 2.73632 -1.78414 -0.730225 -0.283691 -0.0895996 
4594 NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 -58 9.22361 2.71889 -1.96628 -0.459512 0.00491782 -0.00848178 0.0665567 -0.213946 0.0867786 -0.730469 -0.272949 -0.0856934 0.0922453 0.0272354 -0.0195551 0.999999 0.000332783 -0.00106973 0.000433893 97296 133.096 -68.9281 -117.253 NaN NaN NaN 9.22361 2.71889 -1.96628 -0.730469 -0.272949 -0.0856934 
4595 NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 -59 9.71986 2.71823 -2.19914 -0.347049 -0.0977753 0.510619 0.0937052 -0.232964 0.0764035 -0.730469 -0.275146 -0.0793457 0.0972138 0.0272297 -0.0218654 0.999999 0.000468526 -0.00116482 0.000382018 NaN  133.479 -68.8684 -117.606 NaN NaN NaN 9.71986 2.71823 -2.19914 -0.730469 -0.275146 -0.0793457 
4596 NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 -60 9.72047 2.84616 -2.37038 -0.236237 0.0591147 0.586715 0.128906 -0.166187 0.0742827 -0.736816 -0.275146 -0.081543 0.0972138 0.028513 -0.0236047 0.999999 0.00064453 -0.000830937 0.000371414 97296 133.618 -68.8488 -117.703 NaN NaN NaN 9.72047 2.84616 -2.37038 -0.736816 -0.275146 -0.081543 
4597 NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 -61 9.58616 3.12845 -2.19191 -0.484208 0.324497 0.490047 0.116535 -0.106728 0.0712439 -0.730469 -0.270752 -0.0795898 0.0958621 0.0313314 -0.0218497 1 0.000582674 -0.000533638 0.00035622 NaN  133.872 -68.8359 -117.904 NaN NaN NaN 9.58616 3.12845 -2.19191 -0.730469 -0.270752 -0.0795898 
