



PackedCounter SampleTimeFine UTC_Nano UTC_Year UTC_Month UTC_Day UTC_Hour UTC_Minute UTC_Second UTC_Valid StatusWord RSSI Acc_X Acc_Y Acc_Z FreeAcc_X FreeAcc_Y FreeAcc_Z Gyr_X Gyr_Y Gyr_Z Mag_X Mag_Y Mag_Z  VelInc_X VelInc_Y VelInc_Z OriInc_q0 OriInc_q1 OriInc_q2 OriInc_q3 Pressure Roll Pitch Yaw Latitude Longitude Altitude calibacc0 calibacc1 calibacc2 calimgf0 calimgf1 calimgf2 
57699 NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 -82 3.56051 7.01084 -7.12566 1.25767e-15 3.9465e-15 0.798306 -3.36478 0.744105 -0.229296 0.0617676 -0.474121 0.834229 0.0354162 0.0688543 -0.0725541 0.999851 -0.0168231 0.00372034 -0.00114642 NaN  136.499 -19.4977 30.8366 NaN NaN NaN 3.56051 7.01084 -7.12566 0.0617676 -0.474121 0.834229 
57700 NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 -69 3.71287 5.30265 -7.27057 -2.1684e-15 2.47198e-15 -0.0784238 -3.22512 0.958878 -0.237389 0.0627441 -0.496582 0.814941 0.0368388 0.0517992 -0.0737247 0.999858 -0.0161249 0.00479416 -0.00118689 97519 144.908 -22.2374 7.32306 NaN NaN NaN 3.71287 5.30265 -7.27057 0.0627441 -0.496582 0.814941 
57701 NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 -62 3.85852 4.74492 -7.15439 0.287022 1.00023 -0.458651 -2.83281 1.10556 -0.357295 0.0493164 -0.520996 0.799805 0.0382699 0.046359 -0.0724178 0.999883 -0.0141635 0.00552759 -0.0017864 NaN  139.631 -21.1129 16.3602 NaN NaN NaN 3.85852 4.74492 -7.15439 0.0493164 -0.520996 0.799805 
57702 NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 -58 3.6946 4.70529 -7.43253 -0.108576 1.37765 -0.372491 -2.41897 1.03613 -0.40533 0.041748 -0.537354 0.789062 0.0366524 0.0460734 -0.0750769 0.999911 -0.0120945 0.0051805 -0.00202659 97527 138.025 -21.4069 16.9671 NaN NaN NaN 3.6946 4.70529 -7.43253 0.041748 -0.537354 0.789062 
57703 NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 -56 5.44643 3.15573 -4.72775 2.61358 1.73037 -2.59143 -1.94178 0.783241 -0.669615 0.0427246 -0.557617 0.782471 0.054382 0.0309127 -0.0477928 0.99994 -0.00970869 0.00391613 -0.00334801 NaN  136.731 -21.5318 17.5773 NaN NaN NaN 5.44643 3.15573 -4.72775 0.0427246 -0.557617 0.782471 
57704 NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 -55 5.29857 4.23161 -5.68652 1.94813 1.57555 -1.32523 -1.95393 0.915294 -0.615307 0.0432129 -0.56958 0.769531 0.0528521 0.0415935 -0.057516 0.999937 -0.00976943 0.00457638 -0.00307647 97524 135.367 -21.6647 18.2417 NaN NaN NaN 5.29857 4.23161 -5.68652 0.0432129 -0.56958 0.769531 
57705 NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 -55 3.46152 1.28345 -5.65889 0.323747 3.38813 -3.97605 -1.98048 1.03851 -0.200968 0.0314941 -0.583984 0.760986 0.0343328 0.0122376 -0.0568908 0.999937 -0.0099022 0.00519246 -0.00100482 NaN  134.084 -22.2035 18.5837 NaN NaN NaN 3.46152 1.28345 -5.65889 0.0314941 -0.583984 0.760986 
57706 NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 -55 0.94817 -0.512961 -5.03148 -1.5682 3.68453 -6.58119 -1.22279 0.641687 0.0358646 0.0275879 -0.588135 0.754395 0.00932123 -0.00543555 -0.0503123 0.999976 -0.00611391 0.00320841 0.000179321 97510 133.28 -22.4723 18.8559 NaN NaN NaN 0.94817 -0.512961 -5.03148 0.0275879 -0.588135 0.754395 
57707 NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 -55 1.25467 2.45921 -4.2535 -1.06506 1.10445 -4.97948 -0.682305 0.416048 0.0613188 0.0297852 -0.592041 0.748047 0.0124505 0.0244506 -0.0426446 0.999992 -0.00341152 0.00208024 0.000306593 NaN  133.431 -22.9032 18.0894 NaN NaN NaN 1.25467 2.45921 -4.2535 0.0297852 -0.592041 0.748047 
57708 NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 -56 -0.231143 3.98537 -3.86615 -2.29152 -0.65585 -4.79249 -0.744605 0.453854 0.0223906 0.027832 -0.596191 0.748047 -0.00240383 0.0397091 -0.0388041 0.99999 -0.00372301 0.00226926 0.000111952 97519 132.927 -23.0905 18.2858 NaN NaN NaN -0.231143 3.98537 -3.86615 0.027832 -0.596191 0.748047 
