



PackedCounter SampleTimeFine UTC_Nano UTC_Year UTC_Month UTC_Day UTC_Hour UTC_Minute UTC_Second UTC_Valid StatusWord RSSI Acc_X Acc_Y Acc_Z FreeAcc_X FreeAcc_Y FreeAcc_Z Gyr_X Gyr_Y Gyr_Z Mag_X Mag_Y Mag_Z  VelInc_X VelInc_Y VelInc_Z OriInc_q0 OriInc_q1 OriInc_q2 OriInc_q3 Pressure Roll Pitch Yaw Latitude Longitude Altitude calibacc0 calibacc1 calibacc2 calimgf0 calimgf1 calimgf2 
57699 NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 -53 10.3235 1.47799 -6.84196 3.46945e-16 6.93889e-16 2.66015 -0.198251 0.264335 -0.07768 -0.91748 0.197021 0.32251 0.10315 0.0146719 -0.0685705 0.999999 -0.000991255 0.00132167 -0.0003884 NaN  167.923 -55.7917 136.888 NaN NaN NaN 10.3235 1.47799 -6.84196 -0.91748 0.197021 0.32251 
57700 NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 -53 8.69699 -1.34181 -4.81362 1.38778e-15 3.46945e-16 0.21769 -1.29453 0.987434 0.309471 -0.91748 0.194824 0.314209 0.0867521 -0.0135968 -0.0484773 0.999966 -0.00647257 0.00493712 0.00154734 97236 -164.332 -59.8706 145.055 NaN NaN NaN 8.69699 -1.34181 -4.81362 -0.91748 0.194824 0.314209 
57701 NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 -54 4.94231 -5.18068 -5.83789 -1.95323 -5.42525 -2.59486 -2.12435 1.21439 0.435609 -0.921631 0.192871 0.312256 0.0491832 -0.0523178 -0.0581241 0.999923 -0.0106215 0.00607181 0.00217799 NaN  178.73 -58.9878 135.965 NaN NaN NaN 4.94231 -5.18068 -5.83789 -0.921631 0.192871 0.312256 
57702 NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 -55 3.32449 -7.75095 -7.00085 -2.57635 -8.56963 -3.48311 -1.55405 0.79456 0.341286 -0.923584 0.190674 0.312256 0.0331008 -0.0779944 -0.0695354 0.99996 -0.00777015 0.00397275 0.00170641 97238 178.147 -59.4482 135.608 NaN NaN NaN 3.32449 -7.75095 -7.00085 -0.923584 0.190674 0.312256 
57703 NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 -56 5.77064 -6.39756 -3.53331 -4.60054 -4.56973 -3.12942 -0.216033 0.0722781 0.0808827 -0.923584 0.184326 0.3125 0.0577195 -0.0639904 -0.0352849 0.999999 -0.00108016 0.00036139 0.000404413 NaN  178.538 -59.3268 135.173 NaN NaN NaN 5.77064 -6.39756 -3.53331 -0.923584 0.184326 0.3125 
57704 NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 -57 6.93952 -1.81631 -2.24773 -2.49809 -0.168203 -2.72471 0.562083 -0.334417 -0.397045 -0.923584 0.186523 0.308105 0.0693966 -0.0182378 -0.0224125 0.999993 0.00281041 -0.00167208 -0.00198522 97230 178.487 -59.1293 135.608 NaN NaN NaN 6.93952 -1.81631 -2.24773 -0.923584 0.186523 0.308105 
57705 NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 -58 6.7553 2.62507 -5.37823 2.60036 0.98322 -1.22659 0.792736 -0.754534 -0.649578 -0.917236 0.186523 0.318604 0.0678403 0.0262429 -0.0534227 0.99998 0.00396365 -0.00377265 -0.00324787 NaN  178.785 -58.812 136.168 NaN NaN NaN 6.7553 2.62507 -5.37823 -0.917236 0.186523 0.318604 
57706 NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 -58 9.29123 4.57584 -6.59282 3.68779 2.62835 1.59875 0.768743 -0.924356 -0.246844 -0.912842 0.188721 0.324707 0.0932717 0.0458953 -0.0653214 0.999981 0.00384369 -0.00462175 -0.00123421 97233 179.011 -58.2797 136.419 NaN NaN NaN 9.29123 4.57584 -6.59282 -0.912842 0.188721 0.324707 
57707 NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 -58 10.8581 1.94823 -6.54158 1.15666 1.4245 2.88061 -0.512309 -0.249626 0.289466 -0.912842 0.188721 0.326904 0.108635 0.0194721 -0.0653301 0.999995 -0.00256154 -0.00124813 0.00144733 NaN  178.946 -58.0569 136.104 NaN NaN NaN 10.8581 1.94823 -6.54158 -0.912842 0.188721 0.326904 
57708 NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 -57 8.93462 -2.83514 -9.59095 0.304929 -4.55605 2.79683 -1.38076 0.49885 0.127428 -0.916992 0.18457 0.324951 0.0891253 -0.0289569 -0.0959335 0.999973 -0.00690375 0.00249423 0.000637132 97237 178.261 -58.3444 135.979 NaN NaN NaN 8.93462 -2.83514 -9.59095 -0.916992 0.18457 0.324951 
57709 NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 -57 6.53099 -5.02932 -10.3047 0.0711878 -7.46255 1.07025 -0.0935474 0.733965 -0.0205185 -0.921387 0.182373 0.318848 0.0649261 -0.0503482 -0.103262 0.999993 -0.000467736 0.00366982 -0.000102592 NaN  178.242 -58.5887 136.2 NaN NaN NaN 6.53099 -5.02932 -10.3047 -0.921387 0.182373 0.318848 
57710 NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 -57 6.61754 -2.96465 -5.11961 -1.5144 -2.84989 -1.54374 0.88911 0.61562 -0.201406 -0.925781 0.186523 0.308105 0.0659873 -0.0294844 -0.0515307 0.999985 0.00444553 0.00307808 -0.00100702 97240 178.545 -58.938 136.441 NaN NaN NaN 6.61754 -2.96465 -5.11961 -0.925781 0.186523 0.308105 
57711 NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 -56 6.72237 -1.30844 -2.23494 -2.08218 0.120656 -2.91724 0.64022 0.339357 -0.249475 -0.925537 0.180176 0.306396 0.0671693 -0.0130964 -0.0225053 0.999993 0.00320109 0.00169678 -0.00124737 NaN  179.555 -58.6697 137.265 NaN NaN NaN 6.72237 -1.30844 -2.23494 -0.925537 0.180176 0.306396 
57712 NaN NaN NaN NaN NaN NaN NaN NaN NaN 0 -57 5.1128 -0.884388 -5.27502 0.71684 -1.92845 -2.70523 0.142597 -0.209035 -0.332661 -0.921387 0.178223 0.312744 0.0511683 -0.00889138 -0.052703 0.999998 0.000712983 -0.00104518 -0.0016633 97236 179.327 -58.548 137.629 NaN NaN NaN 5.1128 -0.884388 -5.27502 -0.921387 0.178223 0.312744 
